YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2026-03,WEEKENDS/HOLIDAY,17,TRAIN,BP5,1199,906
2026-03,WEEKENDS/HOLIDAY,23,TRAIN,NE18,841,1523
2026-03,WEEKENDS/HOLIDAY,9,TRAIN,CC12,3804,2005
2026-03,WEEKDAY,21,TRAIN,BP9,1512,2077
2026-03,WEEKDAY,18,TRAIN,SW4,4630,9678
2026-03,WEEKDAY,20,TRAIN,BP5,1668,2278
2026-03,WEEKENDS/HOLIDAY,0,TRAIN,TE12,7,54
2026-03,WEEKENDS/HOLIDAY,20,TRAIN,NE7/DT12,23671,14566
2026-03,WEEKDAY,11,TRAIN,NE16/STC,43721,31808
2026-03,WEEKENDS/HOLIDAY,17,TRAIN,CC8,2420,2350
2026-03,WEEKDAY,13,TRAIN,EW28,24575,19523
2026-03,WEEKENDS/HOLIDAY,8,TRAIN,DT5,6367,6864
2026-03,WEEKDAY,18,TRAIN,CC27,63653,4631
2026-03,WEEKDAY,11,TRAIN,CC7,4090,2746
2026-03,WEEKENDS/HOLIDAY,0,TRAIN,NS14,522,2451
2026-03,WEEKDAY,9,TRAIN,EW7,27238,14516
2026-03,WEEKENDS/HOLIDAY,22,TRAIN,CC27,611,247
2026-03,WEEKDAY,20,TRAIN,DT4,665,4022
2026-03,WEEKENDS/HOLIDAY,5,TRAIN,NS25/EW13,88,107
2026-03,WEEKENDS/HOLIDAY,22,TRAIN,BP8,547,547
2026-03,WEEKENDS/HOLIDAY,17,TRAIN,TE29,2123,2476
2026-03,WEEKENDS/HOLIDAY,18,TRAIN,PW1,1309,1173
2026-03,WEEKENDS/HOLIDAY,19,TRAIN,NE7/DT12,24753,21235
2026-03,WEEKENDS/HOLIDAY,23,TRAIN,SW7,64,625
2026-03,WEEKDAY,18,TRAIN,NS27/CE2/TE20,41729,5323
2026-03,WEEKENDS/HOLIDAY,12,TRAIN,NS14,16328,10638
2026-03,WEEKDAY,13,TRAIN,PE6,8885,10088
2026-03,WEEKENDS/HOLIDAY,9,TRAIN,BP3,2494,755
